Training: 2021-04-10 19:44:24,605-rank_id: 0
Training: 2021-04-10 20:11:33,331-Speed 761.29 samples/sec   Loss 25.6699   Epoch: 0   Global Step: 2350   Required: 55 hours
Training: 2021-04-10 20:12:06,721-Speed 766.72 samples/sec   Loss 25.1681   Epoch: 0   Global Step: 2400   Required: 55 hours
Training: 2021-04-10 20:12:40,147-Speed 765.88 samples/sec   Loss 24.7514   Epoch: 0   Global Step: 2450   Required: 55 hours
Training: 2021-04-10 20:13:13,602-Speed 765.22 samples/sec   Loss 24.4541   Epoch: 0   Global Step: 2500   Required: 55 hours
Training: 2021-04-10 20:13:47,362-Speed 758.29 samples/sec   Loss 23.8956   Epoch: 0   Global Step: 2550   Required: 55 hours
Training: 2021-04-10 20:14:21,268-Speed 755.05 samples/sec   Loss 23.8089   Epoch: 0   Global Step: 2600   Required: 55 hours
Training: 2021-04-10 20:14:54,705-Speed 765.64 samples/sec   Loss 23.1909   Epoch: 0   Global Step: 2650   Required: 55 hours
Training: 2021-04-10 20:15:28,210-Speed 764.07 samples/sec   Loss 22.9336   Epoch: 0   Global Step: 2700   Required: 55 hours
Training: 2021-04-10 20:16:01,966-Speed 758.39 samples/sec   Loss 22.6281   Epoch: 0   Global Step: 2750   Required: 55 hours
Training: 2021-04-10 20:16:35,436-Speed 764.88 samples/sec   Loss 22.4330   Epoch: 0   Global Step: 2800   Required: 55 hours
Training: 2021-04-10 20:17:08,851-Speed 766.13 samples/sec   Loss 22.0430   Epoch: 0   Global Step: 2850   Required: 55 hours
Training: 2021-04-10 20:17:42,281-Speed 765.79 samples/sec   Loss 21.7965   Epoch: 0   Global Step: 2900   Required: 55 hours
Training: 2021-04-10 20:18:15,646-Speed 767.28 samples/sec   Loss 21.6069   Epoch: 0   Global Step: 2950   Required: 55 hours
Training: 2021-04-10 20:18:49,322-Speed 760.19 samples/sec   Loss 21.3586   Epoch: 0   Global Step: 3000   Required: 55 hours
Training: 2021-04-10 20:19:22,682-Speed 767.40 samples/sec   Loss 21.0970   Epoch: 0   Global Step: 3050   Required: 55 hours
Training: 2021-04-10 20:19:56,079-Speed 766.55 samples/sec   Loss 20.8823   Epoch: 0   Global Step: 3100   Required: 55 hours
Training: 2021-04-10 20:20:29,531-Speed 765.30 samples/sec   Loss 20.5802   Epoch: 0   Global Step: 3150   Required: 55 hours
Training: 2021-04-10 20:21:02,923-Speed 766.67 samples/sec   Loss 20.3836   Epoch: 0   Global Step: 3200   Required: 55 hours
Training: 2021-04-10 20:21:36,596-Speed 760.28 samples/sec   Loss 20.3808   Epoch: 0   Global Step: 3250   Required: 55 hours
Training: 2021-04-10 20:22:11,024-Speed 743.58 samples/sec   Loss 20.1593   Epoch: 0   Global Step: 3300   Required: 55 hours
Training: 2021-04-10 20:22:44,415-Speed 766.69 samples/sec   Loss 19.9560   Epoch: 0   Global Step: 3350   Required: 55 hours
Training: 2021-04-10 20:23:17,834-Speed 766.04 samples/sec   Loss 19.7740   Epoch: 0   Global Step: 3400   Required: 55 hours
Training: 2021-04-10 20:23:51,273-Speed 765.58 samples/sec   Loss 19.6728   Epoch: 0   Global Step: 3450   Required: 55 hours
